Data array voltage (V), SRAM cell nfet on current (A), SRAM cell nfet off current (A), SRAM cell pfet on current UNUSED (A), SRAM cell pfet off current UNUSED (A), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power
1, 0.00113596, 1.7052e-06, 0.00066822, 1.08374e-08, 1329.27, 3203.55, 0.778473, 0.794842, 0.0260711, 68.3483, 2.60728e-07, 73.6909, 4.98746, 157.357, 0.9275, 0.868705, 0.749439, 0.0475073
0.99, 0.00111972, 1.6772e-06, 0.00065884, 1.05196e-08, 1335.07, 3217.51, 0.778473, 0.795122, 0.0259628, 66.5517, 2.56439e-07, 71.8943, 4.98746, 153.764, 0.925688, 0.865637, 0.749439, 0.0486175
0.98, 0.00110348, 1.6478e-06, 0.00064946, 1.02102e-08, 1341.03, 3231.88, 0.778473, 0.795411, 0.0258545, 64.7229, 2.51937e-07, 70.0655, 4.98746, 150.106, 0.923748, 0.862363, 0.749439, 0.0498021
0.97, 0.0010871, 1.6198e-06, 0.0006398, 9.9092e-09, 1347.35, 3247.1, 0.778473, 0.795723, 0.0257464, 62.9721, 2.47649e-07, 68.3147, 4.98746, 146.604, 0.921794, 0.859076, 0.749439, 0.0509917
0.96, 0.00107072, 1.5918e-06, 0.00063014, 9.618e-09, 1353.86, 3262.79, 0.778473, 0.796047, 0.0256383, 61.2439, 2.43361e-07, 66.5865, 4.98746, 143.148, 0.919765, 0.855673, 0.749439, 0.0522229
0.95, 0.00105434, 1.5652e-06, 0.00062048, 9.3338e-09, 1360.57, 3278.97, 0.778473, 0.796382, 0.0255304, 59.5915, 2.39288e-07, 64.9341, 4.98746, 139.843, 0.917723, 0.852262, 0.749439, 0.053457
0.94, 0.00103782, 1.54e-06, 0.00061054, 9.0566e-09, 1367.67, 3296.1, 0.778473, 0.796743, 0.0254225, 58.0131, 2.35428e-07, 63.3557, 4.98746, 136.686, 0.915673, 0.84885, 0.749439, 0.0546916
0.93, 0.00102102, 1.5148e-06, 0.00060074, 8.7878e-09, 1375.39, 3314.69, 0.778473, 0.797146, 0.0253147, 56.4551, 2.31569e-07, 61.7978, 4.98746, 133.57, 0.913547, 0.845324, 0.749439, 0.0559675
0.92, 0.00100422, 1.4896e-06, 0.00059066, 8.5274e-09, 1383.36, 3333.9, 0.778473, 0.797564, 0.025207, 54.9175, 2.2771e-07, 60.2601, 4.98746, 130.495, 0.911341, 0.841679, 0.749439, 0.0572864
0.91, 0.00098742, 1.4644e-06, 0.00058058, 8.2726e-09, 1391.61, 3353.77, 0.778473, 0.797999, 0.0250994, 53.4002, 2.23852e-07, 58.7428, 4.98746, 127.46, 0.909051, 0.83791, 0.749439, 0.0586503
0.9, 0.00097048, 1.4406e-06, 0.0005705, 8.0262e-09, 1400.34, 3374.81, 0.778473, 0.798465, 0.0249919, 51.9535, 2.20208e-07, 57.2961, 4.98746, 124.567, 0.906755, 0.834145, 0.749439, 0.0600126
0.89, 0.0009534, 1.4168e-06, 0.00056014, 7.7854e-09, 1409.59, 3397.1, 0.778473, 0.798967, 0.0248845, 50.5261, 2.16564e-07, 55.8687, 4.98746, 121.712, 0.904372, 0.830254, 0.749439, 0.0614202
0.88, 0.00093632, 1.39384e-06, 0.00054992, 7.5516e-09, 1419.17, 3420.21, 0.778473, 0.799489, 0.0247772, 49.1474, 2.13048e-07, 54.49, 4.98746, 118.955, 0.901953, 0.82632, 0.749439, 0.0628439
0.87, 0.0009191, 1.37088e-06, 0.00053942, 7.3234e-09, 1429.33, 3444.69, 0.778473, 0.800049, 0.02467, 47.7872, 2.09533e-07, 53.1298, 4.98746, 116.235, 0.899443, 0.822255, 0.749439, 0.0643147
0.86, 0.00090188, 1.3482e-06, 0.00052892, 7.1036e-09, 1439.88, 3470.11, 0.778473, 0.800634, 0.0245629, 46.4552, 2.06061e-07, 51.7978, 4.98746, 113.571, 0.896857, 0.818086, 0.749439, 0.0658234
0.85, 0.00088466, 1.32636e-06, 0.00051842, 6.888e-09, 1450.84, 3496.52, 0.778473, 0.801244, 0.0244559, 45.17, 2.02717e-07, 50.5126, 4.98746, 111, 0.894232, 0.813873, 0.749439, 0.0673477
0.84, 0.0008673, 1.30466e-06, 0.00050778, 6.6794e-09, 1462.47, 3524.55, 0.778473, 0.8019, 0.024349, 43.9071, 1.99396e-07, 49.2497, 4.98746, 108.474, 0.89152, 0.809539, 0.749439, 0.0689158
0.83, 0.00084994, 1.28296e-06, 0.000497, 6.475e-09, 1474.57, 3553.72, 0.778473, 0.802586, 0.0242421, 42.6617, 1.96074e-07, 48.0043, 4.98746, 105.983, 0.888706, 0.805063, 0.749439, 0.0705355
0.82, 0.00083244, 1.26168e-06, 0.00048608, 6.2776e-09, 1487.43, 3584.72, 0.778473, 0.803322, 0.0241354, 41.4475, 1.92817e-07, 46.7901, 4.98746, 103.555, 0.885818, 0.800492, 0.749439, 0.0721895
0.81, 0.00081494, 1.24082e-06, 0.0004753, 6.0858e-09, 1500.85, 3617.04, 0.778473, 0.804095, 0.0240287, 40.2641, 1.89624e-07, 45.6067, 4.98746, 101.188, 0.882855, 0.795825, 0.749439, 0.073878
0.8, 0.00079744, 1.21982e-06, 0.00046424, 5.8982e-09, 1514.85, 3650.78, 0.778473, 0.804905, 0.0239222, 39.093, 1.8641e-07, 44.4356, 4.98746, 98.8461, 0.879768, 0.790987, 0.749439, 0.0756286
0.79, 0.00077994, 1.19952e-06, 0.00045318, 5.7176e-09, 1529.48, 3686.04, 0.778473, 0.805757, 0.0238157, 37.961, 1.83303e-07, 43.3036, 4.98746, 96.582, 0.876624, 0.786087, 0.749439, 0.0774015
0.78, 0.0007623, 1.17936e-06, 0.00044212, 5.5398e-09, 1545.06, 3723.6, 0.778473, 0.806673, 0.0237094, 36.8496, 1.80218e-07, 42.1922, 4.98746, 94.3593, 0.873375, 0.781048, 0.749439, 0.0792248
0.77, 0.0007448, 1.15934e-06, 0.00043092, 5.369e-09, 1561.09, 3762.23, 0.778473, 0.807617, 0.0236031, 35.7588, 1.77154e-07, 41.1014, 4.98746, 92.1777, 0.870014, 0.775866, 0.749439, 0.0810998
0.76, 0.00072716, 1.13946e-06, 0.00041958, 5.2024e-09, 1578.19, 3803.45, 0.778473, 0.808633, 0.0234969, 34.6884, 1.74113e-07, 40.031, 4.98746, 90.0368, 0.866538, 0.770537, 0.749439, 0.0830282
0.75, 0.00070952, 1.12e-06, 0.00040824, 5.04e-09, 1596.15, 3846.72, 0.778473, 0.809707, 0.0233908, 33.6465, 1.71135e-07, 38.9891, 4.98746, 87.9531, 0.862972, 0.765101, 0.749439, 0.0849952
0.74, 0.00069188, 1.10026e-06, 0.0003969, 4.8818e-09, 1615.02, 3892.2, 0.778473, 0.810841, 0.0232848, 32.612, 1.68115e-07, 37.9546, 4.98746, 85.8842, 0.859237, 0.759442, 0.749439, 0.0870428
0.73, 0.00067438, 1.0815e-06, 0.00038542, 4.7278e-09, 1634.54, 3939.24, 0.778473, 0.812016, 0.0231789, 31.622, 1.65245e-07, 36.9646, 4.98746, 83.9042, 0.855467, 0.753765, 0.749439, 0.0890968
0.72, 0.00065674, 1.06232e-06, 0.0003738, 4.5794e-09, 1655.45, 3989.63, 0.778473, 0.813287, 0.0230731, 30.6351, 1.6231e-07, 35.9777, 4.98746, 81.9302, 0.851502, 0.747833, 0.749439, 0.0912434
0.71, 0.00063924, 1.04384e-06, 0.00036232, 4.4352e-09, 1677.15, 4041.93, 0.778473, 0.814608, 0.0229674, 29.6834, 1.59483e-07, 35.026, 4.98746, 80.0269, 0.847468, 0.741835, 0.749439, 0.0934136
0.7, 0.00062174, 1.02522e-06, 0.0003507, 4.2938e-09, 1700.07, 4097.16, 0.778473, 0.816012, 0.0228618, 28.7426, 1.56635e-07, 34.0852, 4.98746, 78.1454, 0.843258, 0.73562, 0.749439, 0.0956626
0.69, 0.00060424, 1.00674e-06, 0.00033908, 4.1566e-09, 1724.31, 4155.6, 0.778473, 0.817506, 0.0227563, 27.8207, 1.53808e-07, 33.1633, 4.98746, 76.3016, 0.8389, 0.729231, 0.749439, 0.0979743
0.68, 0.00058688, 9.884e-07, 0.00032746, 4.0236e-09, 1749.59, 4216.51, 0.778473, 0.819068, 0.0226509, 26.9175, 1.51003e-07, 32.2601, 4.98746, 74.4951, 0.83439, 0.722665, 0.749439, 0.10035
0.67, 0.00056952, 9.7048e-07, 0.0003157, 3.8948e-09, 1776.41, 4281.14, 0.778473, 0.820734, 0.0225455, 26.0403, 1.48262e-07, 31.3829, 4.98746, 72.7407, 0.829761, 0.715976, 0.749439, 0.102771
0.66, 0.0005523, 9.5242e-07, 0.00030408, 3.7688e-09, 1804.45, 4348.73, 0.778473, 0.822482, 0.0224403, 25.1737, 1.455e-07, 30.5163, 4.98746, 71.0076, 0.824927, 0.709044, 0.749439, 0.105279
0.65, 0.00053522, 9.3506e-07, 0.00029232, 3.647e-09, 1833.83, 4419.52, 0.778473, 0.824319, 0.0223352, 24.3399, 1.42845e-07, 29.6825, 4.98746, 69.34, 0.820009, 0.702046, 0.749439, 0.107811
0.64, 0.00051814, 9.177e-07, 0.0002807, 3.5294e-09, 1865.13, 4494.97, 0.778473, 0.826288, 0.0222301, 23.5201, 1.4019e-07, 28.8627, 4.98746, 67.7002, 0.814896, 0.694829, 0.749439, 0.110422
0.63, 0.0005012, 9.0048e-07, 0.00026894, 3.4132e-09, 1898.04, 4574.29, 0.778473, 0.828366, 0.0221252, 22.7177, 1.37557e-07, 28.0603, 4.98746, 66.0954, 0.809603, 0.68742, 0.749439, 0.113103
0.62, 0.0004844, 8.8354e-07, 0.00025732, 3.3012e-09, 1932.7, 4657.81, 0.778473, 0.830561, 0.0220203, 21.936, 1.34967e-07, 27.2786, 4.98746, 64.5322, 0.804147, 0.679848, 0.749439, 0.115843
0.61, 0.0004676, 8.6646e-07, 0.0002457, 3.1934e-09, 1969.85, 4747.33, 0.778473, 0.832928, 0.0219155, 21.1646, 1.32355e-07, 26.5072, 4.98746, 62.9894, 0.798447, 0.672006, 0.749439, 0.11868
0.6, 0.00045094, 8.5008e-07, 0.00023408, 3.087e-09, 2009.14, 4842.02, 0.778473, 0.835443, 0.0218109, 20.4237, 1.29851e-07, 25.7663, 4.98746, 61.5076, 0.792652, 0.664104, 0.749439, 0.121539
0.59, 0.00043456, 8.3342e-07, 0.0002226, 2.9848e-09, 2050.12, 4940.79, 0.778473, 0.838069, 0.0217063, 19.6894, 1.27303e-07, 25.032, 4.98746, 60.0389, 0.786569, 0.655888, 0.749439, 0.124513
0.58, 0.00041832, 8.1704e-07, 0.00021112, 2.8854e-09, 2093.61, 5045.61, 0.778473, 0.840867, 0.0216018, 18.9749, 1.24799e-07, 24.3175, 4.98746, 58.6099, 0.780298, 0.647498, 0.749439, 0.127548
0.57, 0.00040208, 8.0108e-07, 0.00019964, 2.7888e-09, 2140.62, 5158.89, 0.778473, 0.843912, 0.0214974, 18.2832, 1.22359e-07, 23.6258, 4.98746, 57.2264, 0.773865, 0.638976, 0.749439, 0.130632
0.56, 0.00038612, 7.8512e-07, 0.0001883, 2.695e-09, 2189.99, 5277.88, 0.778473, 0.847116, 0.0213931, 17.6042, 1.19919e-07, 22.9468, 4.98746, 55.8686, 0.767175, 0.630201, 0.749439, 0.133807
0.55, 0.0003703, 7.6916e-07, 0.00017696, 2.604e-09, 2242.78, 5405.09, 0.778473, 0.850557, 0.0212889, 16.9381, 1.17479e-07, 22.2807, 4.98746, 54.5363, 0.760214, 0.621168, 0.749439, 0.137076
0.54, 0.00035462, 7.539e-07, 0.00016576, 2.5158e-09, 2299.36, 5541.46, 0.778473, 0.854263, 0.0211848, 16.2999, 1.15147e-07, 21.6425, 4.98746, 53.2599, 0.753143, 0.612089, 0.749439, 0.140361
0.53, 0.00033922, 7.3864e-07, 0.00015484, 2.429e-09, 2359.24, 5685.76, 0.778473, 0.858195, 0.0210808, 15.674, 1.12814e-07, 21.0166, 4.98746, 52.008, 0.745791, 0.602751, 0.749439, 0.143739
0.52, 0.00032396, 7.2338e-07, 0.00014392, 2.345e-09, 2423.76, 5841.25, 0.778473, 0.862452, 0.0209769, 15.0603, 1.10481e-07, 20.4029, 4.98746, 50.7806, 0.738145, 0.59315, 0.749439, 0.147214
0.51, 0.00030884, 7.0826e-07, 0.000133112, 2.2652e-09, 2493.52, 6009.39, 0.778473, 0.867078, 0.0208731, 14.4617, 1.0817e-07, 19.8043, 4.98746, 49.5835, 0.73023, 0.583327, 0.749439, 0.150768
0.5, 0.000294, 6.937e-07, 0.00012257, 2.1854e-09, 2568.03, 6188.95, 0.778473, 0.872034, 0.0207693, 13.8864, 1.05945e-07, 19.229, 4.98746, 48.4329, 0.722159, 0.573428, 0.749439, 0.154349
0.49, 0.0002793, 6.7872e-07, 0.000112238, 2.1098e-09, 2649.12, 6384.39, 0.783259, 0.877457, 0.0206657, 13.3146, 1.03656e-07, 18.6572, 4.98746, 47.2893, 0.713644, 0.563113, 0.749439, 0.158082
0.48, 0.00026488, 6.643e-07, 0.000102186, 2.0356e-09, 2736.33, 6594.56, 0.789111, 0.883309, 0.0205621, 12.7656, 1.01452e-07, 18.1082, 4.98746, 46.1913, 0.704962, 0.552727, 0.749439, 0.16184
0.47, 0.0002506, 6.5016e-07, 9.2428e-05, 1.9628e-09, 2832, 6825.13, 0.795566, 0.889764, 0.0204587, 12.2334, 9.92905e-08, 17.576, 4.98746, 45.1268, 0.696028, 0.542177, 0.749439, 0.165657
0.46, 0.00023674, 6.3616e-07, 8.3006e-05, 1.8942e-09, 2934.02, 7070.99, 0.802463, 0.896661, 0.0203553, 11.7151, 9.71511e-08, 17.0577, 4.98746, 44.0903, 0.686792, 0.531413, 0.749439, 0.169552
0.45, 0.00022302, 6.2216e-07, 7.4004e-05, 1.8256e-09, 3046.81, 7342.82, 0.810132, 0.90433, 0.0202521, 11.208, 9.50116e-08, 16.5506, 4.98746, 43.0762, 0.677196, 0.520382, 0.749439, 0.173544
0.44, 0.00020958, 6.0858e-07, 6.5422e-05, 1.7598e-09, 3170.15, 7640.06, 0.818552, 0.912751, 0.0201489, 10.7196, 9.29363e-08, 16.0622, 4.98746, 42.0993, 0.66738, 0.509252, 0.749439, 0.177571
0.43, 0.00019656, 5.9486e-07, 5.7344e-05, 1.6968e-09, 3303.32, 7960.99, 0.827669, 0.921867, 0.0200458, 10.2396, 9.08398e-08, 15.5822, 4.98746, 41.1394, 0.657135, 0.497802, 0.749439, 0.181714
0.42, 0.00018368, 5.8156e-07, 4.9784e-05, 1.6338e-09, 3452.74, 8321.11, 0.837958, 0.932156, 0.0199429, 9.77774, 8.88074e-08, 15.1203, 4.98746, 40.2156, 0.646661, 0.486266, 0.749439, 0.185888
0.41, 0.00017122, 5.6854e-07, 4.2798e-05, 1.5736e-09, 3615.82, 8714.12, 0.849221, 0.943419, 0.01984, 9.3311, 8.68179e-08, 14.6737, 4.98746, 39.3223, 0.635906, 0.474596, 0.749439, 0.190111
0.4, 0.00015918, 5.5552e-07, 3.6428e-05, 1.5162e-09, 3794.45, 9144.62, 0.861599, 0.955797, 0.0197372, 8.89491, 8.48285e-08, 14.2375, 4.98746, 38.4499, 0.624752, 0.462675, 0.749439, 0.194424
0.39, 0.00014742, 5.4278e-07, 3.0674e-05, 1.4588e-09, 3994.71, 9627.25, 0.875539, 0.969738, 0.0196345, 8.47352, 8.28818e-08, 13.8161, 4.98746, 37.6072, 0.613307, 0.450633, 0.749439, 0.198781
0.38, 0.000136066, 5.3018e-07, 2.555e-05, 1.4042e-09, 4217.07, 10163.1, 0.891074, 0.985272, 0.0195319, 8.06448, 8.09567e-08, 13.4071, 4.98746, 36.7891, 0.601509, 0.438417, 0.749439, 0.203202
0.37, 0.000125118, 5.1772e-07, 2.1056e-05, 1.35142e-09, 4465.38, 10761.6, 0.908484, 1.00268, 0.0194294, 7.66761, 7.9053e-08, 13.0102, 4.98746, 35.9953, 0.589353, 0.426033, 0.749439, 0.207682
0.36, 0.00011459, 5.054e-07, 1.7164e-05, 1.2999e-09, 4743.87, 11432.7, 0.92808, 1.02228, 0.019327, 7.28274, 7.71707e-08, 12.6253, 4.98746, 35.2256, 0.576835, 0.413491, 0.749439, 0.212221
0.35, 0.000104524, 4.935e-07, 1.3846e-05, 1.25006e-09, 5056.26, 12185.6, 0.950134, 1.04433, 0.0192247, 6.91363, 7.53526e-08, 12.2562, 4.98746, 34.4874, 0.564091, 0.400937, 0.749439, 0.216763
0.34, 9.4906e-05, 4.8174e-07, 1.10586e-05, 1.20162e-09, 5409.56, 13037, 0.975163, 1.06936, 0.0191224, 6.55597, 7.35559e-08, 11.8986, 4.98746, 33.7721, 0.550988, 0.388248, 0.749439, 0.221355
0.33, 8.5778e-05, 4.6984e-07, 8.7486e-06, 1.15458e-09, 5809.18, 14000.1, 1.00356, 1.09776, 0.0190203, 6.20588, 7.1738e-08, 11.5485, 4.98746, 33.0719, 0.537376, 0.375296, 0.749439, 0.226041
0.32, 7.714e-05, 4.585e-07, 6.86e-06, 1.10908e-09, 6263.94, 15096.1, 1.03598, 1.13018, 0.0189183, 5.87249, 7.00056e-08, 11.2151, 4.98746, 32.4051, 0.523624, 0.362442, 0.749439, 0.230692
0.31, 6.902e-05, 4.4716e-07, 5.334e-06, 1.06498e-09, 6782.09, 16344.8, 1.07302, 1.16722, 0.0188163, 5.5482, 6.82732e-08, 10.8908, 4.98746, 31.7565, 0.509439, 0.349421, 0.749439, 0.235404
0.3, 6.1418e-05, 4.361e-07, 4.116e-06, 1.02228e-09, 7375.69, 17775.4, 1.11558, 1.20978, 0.0187145, 5.23635, 6.65836e-08, 10.579, 4.98746, 31.1328, 0.494978, 0.336388, 0.749439, 0.240119
0.29, 5.4362e-05, 4.2518e-07, 3.1528e-06, 9.8084e-10, 8055.26, 19413.2, 1.16442, 1.25862, 0.0186127, 4.93499, 6.49155e-08, 10.2776, 4.98746, 30.5301, 0.48017, 0.323287, 0.749439, 0.24486
0.28, 4.7838e-05, 4.1426e-07, 2.3982e-06, 9.408e-10, 8838.16, 21300, 1.22083, 1.31502, 0.0185111, 4.64238, 6.32474e-08, 9.98498, 4.98746, 29.9449, 0.464936, 0.310062, 0.749439, 0.249645
0.27, 4.1846e-05, 4.0376e-07, 1.813e-06, 9.0188e-10, 9742.87, 23480.3, 1.28616, 1.38036, 0.0184095, 4.36306, 6.16435e-08, 9.70566, 4.98746, 29.3862, 0.449538, 0.296946, 0.749439, 0.254391
0.26, 3.6386e-05, 3.934e-07, 1.3622e-06, 8.6422e-10, 10789.9, 26003.6, 1.36193, 1.45612, 0.018308, 4.0936, 6.0061e-08, 9.43621, 4.98746, 28.8473, 0.433819, 0.283812, 0.749439, 0.259143
0.25, 3.1458e-05, 3.8304e-07, 1.0178e-06, 8.2768e-10, 12000.1, 28920.3, 1.44967, 1.54387, 0.0182066, 3.83245, 5.84786e-08, 9.17505, 4.98746, 28.325, 0.417703, 0.270605, 0.749439, 0.263922
0.24, 2.7034e-05, 3.7296e-07, 7.5642e-07, 7.924e-10, 13405.3, 32306.9, 1.55173, 1.64593, 0.0181053, 3.58229, 5.69389e-08, 8.92489, 4.98746, 27.8247, 0.401382, 0.25749, 0.749439, 0.268668
0.23, 2.31e-05, 3.6316e-07, 5.593e-07, 7.581e-10, 15034.6, 36233.5, 1.67024, 1.76444, 0.0180042, 3.34277, 5.5442e-08, 8.68537, 4.98746, 27.3457, 0.384874, 0.244483, 0.749439, 0.273374
0.22, 1.9614e-05, 3.5336e-07, 4.116e-07, 7.2478e-10, 16936.9, 40817.9, 1.80882, 1.90302, 0.0179031, 3.11111, 5.39452e-08, 8.45371, 4.98746, 26.8823, 0.368017, 0.231461, 0.749439, 0.278086
0.21, 1.6576e-05, 3.4384e-07, 3.0142e-07, 6.9244e-10, 19130.1, 46103.5, 1.96876, 2.06296, 0.0178021, 2.88965, 5.24911e-08, 8.23225, 4.98746, 26.4394, 0.351016, 0.218586, 0.749439, 0.282744
0.2, 1.39258e-05, 3.3432e-07, 2.1994e-07, 6.6122e-10, 21686.4, 52264.1, 2.15539, 2.24959, 0.0177012, 2.67581, 5.10371e-08, 8.01842, 4.98746, 26.0117, 0.333709, 0.205739, 0.749439, 0.287393
0.19, 1.16438e-05, 3.2508e-07, 1.5974e-07, 6.307e-10, 24639.7, 59381.7, 2.37119, 2.46539, 0.0176003, 2.47173, 4.96259e-08, 7.81433, 4.98746, 25.6036, 0.316308, 0.193077, 0.749439, 0.291975
0.18, 9.6908e-06, 3.1584e-07, 1.1557e-07, 6.0116e-10, 28047.2, 67593.8, 2.62034, 2.71454, 0.0174996, 2.27505, 4.82147e-08, 7.61765, 4.98746, 25.2102, 0.298655, 0.180487, 0.749439, 0.29653
0.17, 8.029e-06, 3.0674e-07, 8.33e-08, 5.7232e-10, 31971.6, 77051.6, 2.90744, 3.00164, 0.017399, 2.08673, 4.68249e-08, 7.42933, 4.98746, 24.8336, 0.280877, 0.168057, 0.749439, 0.301028
0.16, 6.6234e-06, 2.9778e-07, 5.9822e-08, 5.4418e-10, 36476.7, 87908.9, 3.23713, 3.33133, 0.0172985, 1.90658, 4.54565e-08, 7.24918, 4.98746, 24.4733, 0.263006, 0.155809, 0.749439, 0.305459
0.15, 5.4432e-06, 2.8896e-07, 4.2798e-08, 5.1674e-10, 41611.6, 100284, 3.61295, 3.70714, 0.017198, 1.73445, 4.41094e-08, 7.07706, 4.98746, 24.129, 0.245081, 0.143765, 0.749439, 0.309818
0.14, 4.4548e-06, 2.8014e-07, 3.0506e-08, 4.8972e-10, 47454.4, 114365, 4.04055, 4.13475, 0.0170977, 1.56939, 4.27625e-08, 6.91199, 4.98746, 23.7989, 0.227053, 0.131888, 0.749439, 0.314115
0.13, 3.6316e-06, 2.7146e-07, 2.1658e-08, 4.6326e-10, 54053.3, 130268, 4.5233, 4.6175, 0.0169974, 1.41212, 4.14369e-08, 6.75472, 4.98746, 23.4844, 0.209056, 0.12026, 0.749439, 0.318322
0.12, 2.9484e-06, 2.6264e-07, 1.5316e-08, 4.3694e-10, 61457.1, 148112, 5.06457, 5.15877, 0.0168973, 1.26112, 4.00899e-08, 6.60372, 4.98746, 23.1824, 0.190971, 0.1088, 0.749439, 0.322469
0.11, 2.3814e-06, 2.5368e-07, 1.07744e-08, 4.109e-10, 69748.9, 168095, 5.67017, 5.76437, 0.0167972, 1.11657, 3.87216e-08, 6.45917, 4.98746, 22.8933, 0.172866, 0.0975458, 0.749439, 0.326541
0.1, 1.9152e-06, 2.4472e-07, 7.5376e-09, 3.8472e-10, 78842.9, 190011, 6.33319, 6.42739, 0.0166972, 0.979195, 3.73533e-08, 6.3218, 4.98746, 22.6185, 0.154892, 0.0865835, 0.749439, 0.330508
0.09, 1.5302e-06, 2.3534e-07, 5.236e-09, 3.5812e-10, 88811.9, 214037, 7.05829, 7.15248, 0.0165974, 0.847481, 3.59209e-08, 6.19008, 4.98746, 22.3551, 0.13691, 0.07582, 0.749439, 0.334403
0.08, 1.21254e-06, 2.2526e-07, 3.6064e-09, 3.3096e-10, 99625.6, 240098, 7.84207, 7.93626, 0.0164976, 0.721037, 3.43817e-08, 6.06364, 4.98746, 22.1022, 0.118912, 0.0652458, 0.749439, 0.338229
0.07, 9.5144e-07, 2.1448e-07, 2.4542e-09, 3.0254e-10, 111095, 267738, 8.66868, 8.76288, 0.0163979, 0.600702, 3.27357e-08, 5.9433, 4.98746, 21.8615, 0.101072, 0.0549552, 0.749439, 0.341952
0.06, 7.3612e-07, 2.0216e-07, 1.6436e-09, 2.7244e-10, 123078, 296617, 9.5246, 9.6188, 0.0162983, 0.485301, 3.08546e-08, 5.8279, 4.98746, 21.6307, 0.0832719, 0.0448714, 0.749439, 0.345601
0.05, 5.5762e-07, 1.876e-07, 1.07548e-09, 2.3996e-10, 135397, 326306, 10.3913, 10.4855, 0.0161988, 0.375281, 2.86317e-08, 5.71788, 4.98746, 21.4107, 0.0656329, 0.0350555, 0.749439, 0.349153
0.04, 4.0838e-07, 1.6898e-07, 6.7858e-10, 2.0398e-10, 147901, 356443, 11.2468, 11.341, 0.0160994, 0.270419, 2.57892e-08, 5.61302, 4.98746, 21.201, 0.0481771, 0.0255101, 0.749439, 0.352607
0.03, 2.8196e-07, 1.4434e-07, 4.032e-10, 1.6352e-10, 160661, 387193, 12.0714, 12.1656, 0.0160001, 0.173236, 2.20281e-08, 5.51584, 4.98746, 21.0066, 0.031407, 0.0164935, 0.749439, 0.355869
0.02, 1.7346e-07, 1.10376e-07, 2.1364e-10, 1.16984e-10, 174104, 419590, 12.8219, 12.9161, 0.0159009, 0.0883128, 1.68443e-08, 5.43091, 4.98746, 20.8367, 0.0162611, 0.00847664, 0.749439, 0.35877
0.01, 7.9716e-08, 6.342e-08, 8.512e-11, 6.2972e-11, 189422, 456508, 13.2129, 13.3071, 0.0158018, 0.0253708, 9.67821e-09, 5.36797, 4.98746, 20.7109, 0.00472634, 0.00245, 0.749439, 0.360951
0, 3.5518e-62, 3.5518e-62, 1.13708e-62, 1.13708e-62, 0, 0, 0.778473, 0.330594, 0.0157027, 0, -nan, 5.3426, 4.98746, 20.6601, 0, 0, 0.749439, 0.361837
